x, y, z
-0.519258, -0.308637, -0.79694
-0.519258, -0.308637, -0.79694
-0.519258, -0.308637, -0.79694
-0.519258, -0.308637, -0.79694
-0.519258, -0.308637, -0.79694
-0.519258, -0.308637, -0.79694
-0.262866, -0.638197, -0.723607
-0.262866, -0.638197, -0.723607
-0.262866, -0.638197, -0.723607
-0.262866, -0.638197, -0.723607
-0.262866, -0.638197, -0.723607
-0.262866, -0.638197, -0.723607
-0.264083, -0.737964, -0.621023
-0.264083, -0.737964, -0.621023
-0.264083, -0.737964, -0.621023
-0.264083, -0.737964, -0.621023
-0.264083, -0.737964, -0.621023
-0.264083, -0.737964, -0.621023
-0.564254, -0.776629, -0.280114
-0.564254, -0.776629, -0.280114
-0.564254, -0.776629, -0.280114
-0.564254, -0.776629, -0.280114
-0.564254, -0.776629, -0.280114
-0.564254, -0.776629, -0.280114
-0.783452, -0.565796, -0.257056
-0.783452, -0.565796, -0.257056
-0.783452, -0.565796, -0.257056
-0.783452, -0.565796, -0.257056
-0.783452, -0.565796, -0.257056
-0.783452, -0.565796, -0.257056
-0.783843, -0.254686, -0.566326
-0.783843, -0.254686, -0.566326
-0.783843, -0.254686, -0.566326
-0.783843, -0.254686, -0.566326
-0.783843, -0.254686, -0.566326
-0.783843, -0.254686, -0.566326
-0.702046, -0.228109, -0.674609
-0.702046, -0.228109, -0.674609
-0.702046, -0.228109, -0.674609
-0.702046, -0.228109, -0.674609
-0.702046, -0.228109, -0.674609
-0.702046, -0.228109, -0.674609
-0.266405, -0.506732, -0.819909
-0.266405, -0.506732, -0.819909
-0.266405, -0.506732, -0.819909
-0.266405, -0.506732, -0.819909
-0.266405, -0.506732, -0.819909
-0.266405, -0.506732, -0.819909
-0.346153, -0.850924, -0.395103
-0.346153, -0.850924, -0.395103
-0.346153, -0.850924, -0.395103
-0.346153, -0.850924, -0.395103
-0.346153, -0.850924, -0.395103
-0.346153, -0.850924, -0.395103
-0.259892, -0.822619, -0.505721
-0.259892, -0.822619, -0.505721
-0.259892, -0.822619, -0.505721
-0.259892, -0.822619, -0.505721
-0.259892, -0.822619, -0.505721
-0.259892, -0.822619, -0.505721
-0.864929, -0.366292, -0.343115
-0.864929, -0.366292, -0.343115
-0.864929, -0.366292, -0.343115
-0.864929, -0.366292, -0.343115
-0.864929, -0.366292, -0.343115
-0.864929, -0.366292, -0.343115
-0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214
-0.606825, -0.197169, -0.769992
-0.606825, -0.197169, -0.769992
-0.606825, -0.197169, -0.769992
-0.606825, -0.197169, -0.769992
-0.606825, -0.197169, -0.769992
-0.606825, -0.197169, -0.769992
-0.425325, -0.861803, -0.276393
-0.425325, -0.861803, -0.276393
-0.425325, -0.861803, -0.276393
-0.425325, -0.861803, -0.276393
-0.425325, -0.861803, -0.276393
-0.425325, -0.861803, -0.276393
-0.862669, -0.449186, -0.232454
-0.862669, -0.449186, -0.232454
-0.862669, -0.449186, -0.232454
-0.862669, -0.449186, -0.232454
-0.862669, -0.449186, -0.232454
-0.862669, -0.449186, -0.232454
-0.646578, -0.749881, -0.140057
-0.646578, -0.749881, -0.140057
-0.646578, -0.749881, -0.140057
-0.646578, -0.749881, -0.140057
-0.646578, -0.749881, -0.140057
-0.646578, -0.749881, -0.140057
-0.386187, -0.265399, -0.883415
-0.386187, -0.265399, -0.883415
-0.386187, -0.265399, -0.883415
-0.386187, -0.265399, -0.883415
-0.386187, -0.265399, -0.883415
-0.386187, -0.265399, -0.883415
-0.757936, -0.637147, -0.139919
-0.757936, -0.637147, -0.139919
-0.757936, -0.637147, -0.139919
-0.757936, -0.637147, -0.139919
-0.757936, -0.637147, -0.139919
