x1, y1, z1, x2, y2, z2
0.262866, 0.361803, 0.894427, 0.230749, 0.352222, 0.907025
0.230901, 0.384601, 0.893738, 0.230749, 0.352222, 0.907025
0.259892, 0.0844439, 0.961938, 0.261444, 0.119967, 0.957734
0.259892, 0.0844439, 0.961938, 0.228338, 0.10894, 0.967468
0.261444, 0.119967, 0.957734, 0.228338, 0.10894, 0.967468
0.160622, 0.221077, -0.961938, 0.180084, 0.247865, -0.95191
0.160622, 0.221077, -0.961938, 0.140998, 0.250728, -0.957734
0.180084, 0.247865, -0.95191, 0.140998, 0.250728, -0.957734
6.2672e-08, 0.447214, -0.894427, -0.0392597, 0.446869, -0.893738
6.2672e-08, 0.447214, -0.894427, -0.0203506, 0.420585, -0.907025
